127.0.0.1 - - [22/Sep/2023:09:07:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:07:11 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:07:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:27 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:55 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:28 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:31 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:31 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:31 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:31 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:34 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
